Length,Time
3,0.00041604
4,0.00037432
4,0.00036263
3,0.00042367
4,0.00054002
3,0.00049615
2,0.00200915
4,0.00474858
2,0.00036311
6,0.00241089
6,0.00228286
6,0.00229621
6,0.0022285
3,0.00301528
3,0.00230122
3,0.00278783
2,0.00258684
2,0.00176907
2,0.01276517
10,0.01097131
10,0.01112628
10,0.00872254
4,0.00893474
4,0.00373387
4,0.00398183
8,0.00536108
6,0.00367594
4,0.003582
5,0.00388837
3,0.00355744
5,0.00419688
4,0.02348089
7,0.01371813
3,0.00124168
3,0.00133944
6,0.00466752
11,0.04840803
5,0.00981975
3,0.0022881
9,0.03605056
10,0.03597975
5,0.00677729
4,0.0063374
8,0.01244187
3,0.00446105
9,0.0082643
5,0.00408959
3,0.005193
5,0.00398088
4,0.0029285
5,0.0035975
7,0.01185489
4,0.00219488
2,0.00096035
8,0.01110697
3,0.00694323
2,0.00037456
2,0.00040603
3,0.00073838
9,0.00232315
3,0.00048161
8,0.0096271
4,0.00270534
7,0.01186013
7,0.01163864
3,0.00691056
2,0.00038385
2,0.00041151
3,0.00072551
9,0.00232339
3,0.00048494
8,0.00962281
4,0.002774
7,0.02870107
7,0.01207042
2,0.0007565
3,0.02262306
4,0.00347829
6,0.03033948
6,0.01238012
2,0.00080395
2,0.00171137
2,0.00106764
3,0.0010798
2,0.00144529
2,0.00148034
3,0.00157547
3,0.00187588
2,0.00080895
3,0.00231957
3,0.05134058
2,0.0012002
2,0.00087261
3,0.00211024
4,0.00207043
3,0.0761075
3,0.05607939
2,0.00122881
2,0.00256729
5,0.00477052
2,0.06396604
2,0.07766342
3,0.00183582
2,0.00127053
2,0.00311756
3,0.05057049
4,0.00195932
3,0.06313324
3,0.05809593
3,0.05765676
3,0.0515976
3,0.05340815
4,0.07520556
2,0.05117702
2,0.05647779
2,0.05102396
4,0.00498819
4,0.00254512
6,0.01016569
5,0.01043272
3,0.00164533
2,0.06229854
2,0.05290961
2,0.00120139
2,0.05067754
2,0.05645585
4,0.00261641
4,0.0034163
3,0.0539887
2,0.00163341
3,0.00235081
4,0.00270772
4,0.00272393
4,0.00306225
4,0.05734348
4,0.00927401
2,0.06920505
2,0.00682163
4,0.0663743
5,0.00524354
2,0.00952005
4,0.00298214
4,0.00290275
3,0.0020802
2,0.001261
4,0.02691841
4,0.01285315
5,0.00597644
3,0.00624347
3,0.00243807
4,0.00347471
2,0.00248361
2,0.00063372
2,0.00132298
2,0.00148416
2,0.00256944
2,0.0025332
2,0.05309463
2,0.07498169
3,0.00223947
3,0.00210834
2,0.00191736
4,0.0038147
2,0.05463791
2,0.05020857
3,0.02322245
4,0.03858423
2,0.00198579
2,0.00378251
2,0.00029588
2,0.00185299
4,0.00638461
2,0.00123811
2,0.00086904
2,0.00125122
2,0.0010612
2,0.00128818
2,0.00124812
3,0.08213377
2,0.05126929
3,0.0055809
2,0.00487828
3,0.00279665
2,0.05172968
4,0.00291586
2,0.00147581
2,0.00149465
2,0.07564306
3,0.01460552
2,0.05317712
5,0.00347829
6,0.00904584
3,0.00230193
2,0.00128627
5,0.01341081
5,0.05065012
6,0.00247574
4,0.00239635
4,0.00295639
4,0.0024159
4,0.00236058
4,0.00300813
3,0.0009346
3,0.00180149
3,0.001544
3,0.00161505
3,0.0016191
2,0.00154495
2,0.00099206
2,0.00112128
5,0.00272465
3,0.00203681
2,0.00177431
2,0.00199318
2,0.00144958
3,0.00431776
2,0.00403643
3,0.00530839
2,0.00129223
2,0.00153637
2,0.00132537
2,0.00150132
2,0.00082922
2,0.00144076
2,0.00133061
2,0.00468135
2,0.00757122
2,0.00138354
5,0.00311875
2,0.00125694
2,0.00125313
3,0.00175762
3,0.00160599
2,0.02009702
2,0.00579381
3,0.00621486
2,0.00577235
4,0.00257182
2,0.00342274
3,0.00271368
2,0.0022316
2,0.00067449
3,0.00252366
4,0.01333356
3,0.00161242
2,0.05559897
2,0.00220108
4,0.00341034
2,0.00162578
2,0.00286579
3,0.0030725
2,0.00081253
2,0.00138664
2,0.00141621
2,0.00161242
2,0.02855277
2,0.07372689
2,0.00265288
2,0.00383282
3,0.09019208
3,0.09363556
2,0.00182247
2,0.00165629
2,0.0089016
2,0.001755
2,0.00151253
2,0.00156951
2,0.00264549
3,0.00453663
5,0.00214601
3,0.00229692
3,0.00484419
5,0.02420354
5,0.00856972
2,0.00056553
5,0.00825071
3,0.00438738
5,0.01354074
5,0.020118
4,0.0062964
2,0.00280619
2,0.00356269
5,0.0270977
4,0.02477145
4,0.01687765
4,0.00935698
3,0.00694013
2,0.00233817
