Length,Time
3,0.00942779
2,0.00431466
2,0.00145483
2,0.0013566
2,0.0016675
3,0.004457
4,0.00375605
2,0.0021348
6,0.00079727
5,0.00065947
9,0.00345302
11,0.00862956
2,0.00132418
2,0.00142169
4,0.00332832
2,0.00152802
2,0.00326037
2,0.00073385
2,0.00133109
2,0.00128984
2,0.00150323
2,0.00124049
2,0.00033617
8,0.01538944
9,0.03766251
9,0.60719085
8,0.28278756
2,0.00954294
2,0.00080562
2,0.00144672
6,0.0201087
4,0.00308895
5,0.00825429
5,0.00675058
5,0.00436306
7,0.0074985
5,0.00433159
5,0.00469422
2,0.00060511
4,0.00964665
2,0.00413752
2,0.00867558
2,0.00068021
10,0.00362849
5,0.05327702
5,0.05388832
4,0.0503583
2,0.00076938
2,0.00088096
2,0.0008328
2,0.00109315
2,0.00214124
2,0.00178266
2,0.00077701
2,0.00171232
6,0.00534129
3,0.0025878
4,0.00265074
3,0.01109743
3,0.00081444
5,0.00329089
5,0.0091269
5,0.00671029
3,0.00239205
4,0.00257468
5,0.00949144
5,0.00444722
3,0.00373507
4,0.00482154
4,0.00419354
5,0.00365901
6,0.00577617
6,0.006459
6,0.00531006
2,0.00535679
3,0.00156474
5,0.00337291
8,0.0066514
7,0.00650597
7,0.00742102
3,0.00308657
5,0.00337982
5,0.00332904
4,0.00367856
5,0.00514317
2,0.00305462
2,0.00280523
3,0.00516272
7,0.01596022
6,0.00515032
2,0.00246572
4,0.0025785
2,0.00042939
2,0.00043416
3,0.00056434
7,0.00670147
3,0.00233769
3,0.00158477
3,0.00404143
4,0.00325179
3,0.00175047
4,0.00285316
2,0.00126886
9,0.01197004
8,0.00819898
7,0.0079186
2,0.00772452
4,0.00435233
2,0.00148606
2,0.00100803
2,0.00044966
2,0.00099611
2,0.02044654
2,0.01337385
2,0.0197444
2,0.03472638
2,0.01512384
2,0.00089264
2,0.00760412
2,0.00032902
2,0.00867987
4,0.00456476
2,0.0016408
2,0.00103903
2,0.00042915
2,0.00108671
2,0.03475285
2,0.01591802
2,0.01892519
2,0.0401063
2,0.00693154
2,0.00039005
2,0.00396204
2,0.00038791
2,0.00127125
2,0.00161052
3,0.00102448
3,0.0104804
4,0.00100899
4,0.00096822
3,0.00126362
2,0.0018568
4,0.0036149
2,0.00031066
6,0.00140357
6,0.0013876
3,0.00271201
3,0.00217152
3,0.00664878
4,0.00036597
4,0.00036383
3,0.00054479
2,0.00108123
4,0.00352287
2,0.00032735
6,0.0014863
6,0.00147033
3,0.00280428
3,0.00221968
2,0.00127554
2,0.00163412
3,0.00104618
3,0.00641799
4,0.00035191
4,0.00033879
3,0.0004375
2,0.00106525
4,0.00367308
2,0.00033331
6,0.01323867
6,0.00340295
3,0.0065062
3,0.0030036
3,0.00606346
4,0.00035572
4,0.00033641
3,0.00044179
2,0.00105333
4,0.00345802
2,0.00032544
6,0.00144482
6,0.00151396
3,0.00283766
3,0.00217462
2,0.00128341
2,0.00165367
3,0.00107551
3,0.00821781
3,0.00731969
2,0.03796887
3,0.00560069
3,0.00627494
2,0.03708506
2,0.01187348
3,0.01541662
4,0.0009234
4,0.00097346
4,0.00117159
3,0.00091004
4,0.00091267
4,0.00041389
3,0.00044537
4,0.00055766
3,0.00058603
2,0.00119472
4,0.00451541
2,0.00034451
6,0.00158691
6,0.00161338
6,0.00159216
6,0.00156641
3,0.00304961
3,0.00240707
3,0.00821328
3,0.00730991
2,0.05074024
3,0.00580692
3,0.00748324
2,0.03617668
2,0.00123692
3,0.01066208
4,0.00033259
4,0.00033283
4,0.00050497
3,0.00037026
4,0.00037479
4,0.0003407
3,0.00039148
4,0.00048566
3,0.00043631
2,0.00105357
4,0.00352693
2,0.00031424
6,0.00145531
6,0.00140476
6,0.00149107
6,0.00147009
3,0.0027163
3,0.00204015
3,0.0079999
3,0.00739241
2,0.04239559
3,0.00549269
3,0.0068996
2,0.03363061
2,0.00125957
2,0.00239825
2,0.00042009
2,0.00112891
5,0.00640726
2,0.0023303
2,0.00043678
2,0.00109673
5,0.00635123
2,0.00233984
2,0.00041771
2,0.00109076
5,0.00625777
2,0.0023582
2,0.00042367
2,0.00108838
5,0.00622654
2,0.00124836
2,0.00161171
3,0.00103116
3,0.00244498
2,0.00128651
3,0.01073122
3,0.00162625
3,0.00307298
2,0.00043464
3,0.00251317
3,0.00176072
4,0.01457787
2,0.00034499
2,0.00210214
3,0.00045061
2,0.000319
2,0.0006876
2,0.00057101
2,0.0018084
3,0.00043368
2,0.00029349
3,0.01757789
4,0.04049087
2,0.00153017
2,0.00180459
2,0.00405812
2,0.00782037
6,0.03184319
2,0.00208426
2,0.00160408
2,0.00150013
7,0.09712529
7,0.0951519
7,0.10301113
2,0.0011394
7,0.10910106
2,0.00408745
3,0.00263119
3,0.0020895
3,0.01579285
4,0.05212498
3,0.00491142
2,0.00246978
2,0.00043082
2,0.00109601
5,0.00631166
2,0.00242233
2,0.00043321
2,0.00106549
5,0.00624657
2,0.0027504
2,0.00045681
2,0.00108433
5,0.00626564
2,0.00239539
2,0.00043344
2,0.00107861
5,0.00641704
2,0.0012145
2,0.00162315
3,0.0010159
3,0.00515127
3,0.00044417
2,0.00105643
4,0.00465178
2,0.00060415
6,0.00255275
6,0.00225639
3,0.0042212
3,0.0033989
3,0.00491691
3,0.00044632
2,0.00102973
4,0.0034976
2,0.00031853
6,0.00144434
6,0.00170684
3,0.00272202
3,0.00209403
2,0.00214791
2,0.00276256
3,0.00173783
3,0.00773621
3,0.00051165
3,0.00285125
4,0.00405264
2,0.00042295
6,0.0016582
6,0.0016222
6,0.00160241
3,0.0030036
3,0.00246954
3,0.00693917
3,0.00054002
3,0.00283694
4,0.00415039
2,0.00040317
6,0.00167871
6,0.00178027
6,0.00168824
3,0.00292897
3,0.00233221
2,0.00138617
2,0.00291753
3,0.00959921
3,0.00314403
3,0.00048995
5,0.00271654
5,0.00198793
3,0.00333858
3,0.00046778
5,0.00276685
5,0.00202107
2,0.00146389
2,0.00171041
3,0.00116539
2,0.0013752
2,0.00166106
3,0.00110722
3,0.01188779
4,0.00052977
3,0.00055456
4,0.00036359
4,0.00034142
3,0.00040412
4,0.00048661
3,0.00048518
2,0.00115275
4,0.00406146
2,0.00035357
6,0.0014925
6,0.00151181
6,0.00152397
6,0.00142145
3,0.00316334
3,0.00228405
3,0.01056123
4,0.00046468
3,0.00040913
4,0.00036812
4,0.00036573
3,0.00041342
4,0.00050521
3,0.00050235
2,0.00109458
4,0.00380492
2,0.00037575
6,0.00149894
6,0.00149202
6,0.00150156
6,0.00147915
3,0.00290513
3,0.00221848
3,0.00202799
2,0.00235724
2,0.00167966
2,0.00253749
10,0.00784898
10,0.00770545
10,0.0128274
4,0.00512147
4,0.00917029
4,0.00240231
8,0.00666618
6,0.00608182
4,0.00495911
5,0.00274611
3,0.00336695
5,0.00640559
4,0.00823593
7,0.1084218
3,0.02935457
3,0.02109838
6,0.14927936
11,0.41522264
5,0.38129902
3,0.00285316
9,0.67685318
10,0.67562747
5,0.01957059
4,0.03659964
8,0.02388263
3,0.01928353
9,0.00860786
5,0.00475025
3,0.00482345
5,0.01188135
4,0.00235224
5,0.00336623
7,0.00563169
4,0.00192952
2,0.00103021
8,0.01370454
3,0.00688219
2,0.00041842
2,0.00049424
3,0.00077581
9,0.00220227
3,0.00058579
8,0.0138979
4,0.00231218
7,0.01043344
7,0.01039386
3,0.00680065
2,0.00039339
2,0.00043678
3,0.00079727
9,0.00215626
3,0.00051069
8,0.00901365
4,0.00220871
7,0.0104363
7,0.01050687
2,0.00071526
3,0.02917981
4,0.00348639
6,0.0318222
6,0.01136255
2,0.00079155
2,0.00329256
2,0.00104189
3,0.00135398
2,0.00373435
2,0.00183296
